instruction,input,output
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 9731 Jamie Route, Tiffanyfort, DE 40917.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 4186 Nathan Light Suite 270, Scottview, KY 74457.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 58693 Mary Viaduct, Sheppardfort, IA 62925.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 089 David Throughway Suite 223, East Brad, TX 57568.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 451 Paul Locks, Melissahaven, AL 92305.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 62299 Sara Port Apt. 485, Bakerfort, PA 62504.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 2996 Randy Isle Apt. 074, Andrewport, KY 64938.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 24754 Jacobs Corners, South Jason, MT 97618.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 82148 Taylor Vista Apt. 233, East Antonioton, MN 92858.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 8610 Nathan Ranch Suite 279, Maxview, UT 12348.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a pothole near 29333 Joseph Lodge Apt. 072, New Lauren, KS 80237.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 466 Stevens Forge Suite 489, Silvatown, TN 49552.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a pothole near 1715 Davidson Wall Suite 443, New Kathy, AR 79148.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 207 Green Manor Suite 609, West Jessica, TX 70576.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 584 Mary Wells Apt. 417, Lake Jonathan, OH 24496.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near USNV Pena, FPO AE 47068.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 5549 Ford Crest Suite 099, South Pamelahaven, TX 50527.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 22356 Thomas Wall Apt. 175, West Cynthia, NV 36352.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 271 Christina Roads, Powellfort, AL 05445.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 58300 Jeremy Wells Suite 421, Gordonport, CA 06493.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 8985 Barron Dale Suite 753, Port Richard, IN 95812.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a gunshot near Unit 3098 Box 2150, DPO AA 84429.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 010 Hannah Mall, Jamesside, NJ 92496.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 6184 Robert Cove, West Danielville, ID 80324.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 356 Martin Plaza Suite 375, North Alexander, DE 75756.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 81143 Hinton Hill, Stevenville, HI 05671.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 561 Melissa Cape Apt. 225, Patriciaview, VA 12684.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 16674 Vaughn Neck Suite 212, Port Erikchester, OR 63766.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 96590 Timothy Oval Apt. 670, West Dianatown, TX 69289.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 588 Ryan Stream, South Michael, SD 50947.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 28772 Karen Islands, West Tara, NY 29691.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a pothole near 3177 Miller Parks Suite 517, North Richardton, OH 00523.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 837 Cox Center Apt. 758, Moranstad, NV 15446.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a pothole near 55488 Park Cape, South Donald, WA 95077.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 331 Lewis Views Apt. 516, Lake Maryshire, WI 59549.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 0808 Roberson Orchard, Lake Beth, DC 14074.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 669 Joshua Junctions Suite 722, Morrisonhaven, UT 72303.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 39452 William Square, Jenniferstad, NJ 76890.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 846 Alexandra Burg Suite 200, West Karen, LA 90074.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 438 Michael Mission, New Mirandaside, IN 97810.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 84066 Frye Spur Suite 800, Jamesmouth, IN 83572.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 893 Kelly Fall Apt. 228, South Billyview, KS 17549.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a pothole near 57202 Carlson Trail Suite 798, Charlesmouth, IN 24601.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 8861 Walker Forest, Markport, WV 81540.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 57399 Susan Springs, Patrickville, KS 71310.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a pothole near 588 Tucker Hill, West Willie, GA 71014.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 36138 Lucas Cliffs, North Stephen, AZ 11972.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 8193 Russell Mission, Hamiltontown, TX 16007.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 901 Reilly Coves, Kristinport, CO 37400.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 6072 Derek Lock Suite 245, New Nancyberg, AZ 01160.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 814 Kaitlin Stream Suite 368, East Jack, KS 25971.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 781 Powers Glen, East Jessicafort, MI 17306.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 49135 Hayes Ridges, Heatherberg, OK 48275.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 05336 Larsen Dale Suite 777, Kimfort, CT 23539.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 2834 Jessica Brook, Port Bonniefurt, OR 28387.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near PSC 8488, Box 7256, APO AE 77781.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 78816 Shaw Shore Apt. 928, South Erik, OK 86931.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a pothole near 750 Kathleen Fort, West Miketon, IL 68381.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near PSC 5677, Box 0051, APO AP 68838.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 498 Nicholas Lane Suite 918, Nicholasbury, MO 46756.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a pothole near 7908 Scott Forks Apt. 843, East Eric, VT 16010.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 1777 Brittany Rue Suite 030, New Brittany, SC 67694.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a pothole near 24286 Natalie Stream, Staceyborough, PA 62290.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a pothole near 69292 Jackson Spur, Sandrashire, IN 50073.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 38862 Gregory Ridges, Port Amandaville, NJ 86928.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 686 Golden Square, Perezfort, WI 50470.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 2473 Justin Wells, Scotttown, WA 01433.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 063 Ortiz Coves, South Denise, KS 70769.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 463 Arnold Point Suite 258, Kingport, MI 92971.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a pothole near 137 Craig Pass, Hartmanside, UT 90228.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 0127 Davis Greens, West Christopher, VA 50875.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near USCGC Mendez, FPO AP 38049.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 77038 Lee Tunnel, New Gavin, MN 31860.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 46566 April Street, North Andreaside, OR 46126.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 93769 Jose Lodge Apt. 818, Matthewville, NY 34277.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 769 Carrillo Throughway Suite 779, South Darrenland, SC 29386.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 6588 Jaclyn Greens, West Christopher, WA 45326.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 5539 White Summit, South Jillian, WA 32227.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 33952 David Common, Austinside, NJ 49154.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 472 Sanders Terrace Apt. 086, Ayerston, MI 52106.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 1875 Alexander Fords, Carpentermouth, RI 34540.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 47955 Victor Fords Suite 556, Shannonshire, OK 90417.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 438 Chase Flat, Port Susan, NJ 01777.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a pothole near 88574 Hart Port Apt. 612, East Lisafort, SC 13123.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 5588 Cooper Loop Apt. 593, Port Justin, TX 67405.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 69472 Danielle Junction Suite 996, North Fernandobury, MD 86092.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 647 Adkins Pike Suite 622, East Jessicaview, UT 98770.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 1117 Anthony Locks, North Joseberg, SD 51598.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 472 Alison Extension, North Elizabethmouth, NJ 61736.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a loud noise near Unit 8487 Box 2829, DPO AP 60341.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 845 Fernandez Valley Apt. 745, Greenport, AL 69093.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 4780 Arroyo Neck, Albertchester, LA 78751.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 536 Foster Estates, Claytonbury, CO 55844.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 8463 Ian Highway Apt. 797, Jackiefort, MD 03043.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 14427 Jesse Drive, South Jeffchester, WY 65826.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near Unit 7051 Box 2046, DPO AE 71698.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 6013 Wise Mills, Lake Virginia, NH 96881.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 6452 Julie Plaza, West Timothyport, MN 07328.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 36502 Richards Locks, North Tanya, WY 91039.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 1327 Gina Junction, North Michaelberg, ND 14577.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 8573 Hannah Knolls, West Rachel, VT 57845.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 92855 Hill Village Apt. 182, Phillipsview, MN 60018.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a pothole near 209 Parsons Garden Suite 186, New Felicia, OH 20703.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 5118 Bradley Curve Apt. 031, Leeton, SD 51435.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 53910 Diana Village Apt. 705, Shortton, RI 35341.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 1381 Jessica Place, Lopezhaven, IA 75215.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 861 Craig Squares, Andradeburgh, HI 72586.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 289 Mahoney Island Suite 566, Charleneshire, IL 49661.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 7760 Tonya Ranch Apt. 824, West Traceyborough, MD 03345.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 889 Clinton Mount Suite 224, Pamelabury, KS 39862.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 315 Thompson Views Apt. 940, Millerton, WI 44330.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 1390 Brown Pine Apt. 589, West Wayne, FL 07122.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 9981 Ryan Turnpike Suite 225, South Ashleyton, MO 34914.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 227 Tony Run Apt. 898, East Charles, NE 42891.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 66553 Cooper Shoal, Port Kevinstad, NV 82182.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 35211 John River, Port Marissa, AL 45494.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 7705 Jody Forest, New Alexandra, OH 63812.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 069 Jonathan Circle, Jamesview, NH 86321.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a gunshot near USS Price, FPO AA 87399.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a illegal dumping near 04636 Rebecca Oval Apt. 238, Castrotown, IA 69892.",Thank you for reporting the illegal dumping. We've logged the location. Avoid the area and report with photo evidence if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 2055 Garrett Freeway Suite 046, New Stacybury, MA 51992.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 689 Robert Ports, South Tara, PA 43661.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 29832 Barker Pine, South Wendy, FL 86514.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a loud noise near USNS Stewart, FPO AP 70357.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a pothole near USS White, FPO AE 95800.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 6474 Kimberly Coves Apt. 209, Catherinebury, IN 30767.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 72897 White Loaf Suite 722, East Antonio, AL 35871.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near USNS Newton, FPO AE 99824.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 9757 Ronald Trail, New Jillfurt, MD 52163.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 177 Natalie Gardens, Terrellton, MS 68150.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 47644 Jackson Hill, Lake Zacharyberg, SD 59705.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 98266 Hayes Fall, Garzaborough, NH 12321.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 111 Walters Corner, Acostahaven, GA 50135.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 59222 Kayla Center, Parkermouth, SC 24185.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 09407 Foley Plains, New Nicolebury, OR 86939.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 1990 Nicole Harbors Apt. 022, Lake Michaelberg, AZ 87925.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 1016 Evan Haven Apt. 795, North Kaylamouth, MS 09370.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 7214 Rose Pine, Lake Jason, CT 75391.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a road hazard near 9469 Green Ports, Sarashire, NC 96076.",Thank you for reporting the road hazard. We've logged the location. Use alternative routes if available and report the exact location.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 93430 Andrew Road Apt. 396, Williamsstad, SC 28332.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 441 Evans Plaza, Katieville, MA 45243.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
